time_s,manifest_id,active_power_W_DG1,active_power_W_DG2,active_power_W_DG3,active_power_W_DG4,normalized_power_DG1,normalized_power_DG2,normalized_power_DG3,normalized_power_DG4,sharing_error
10.97,f27c2278f5bdb77b,256.438566466067,303.296575403596,322.120478280356,343.144379849981,0.512877132932135,0.505494292339326,0.495569966585163,0.490206256928544,0.0226708760035907
10.975,f27c2278f5bdb77b,256.438553677259,303.29672767947,322.120324415577,343.144394227694,0.512877107354518,0.50549454613245,0.495569729870118,0.490206277468134,0.0226708298863846
10.98,f27c2278f5bdb77b,256.438540671729,303.296880583398,322.12017007154,343.144408673334,0.512877081343458,0.505494800972329,0.495569492417754,0.490206298104762,0.0226707832386955
10.985,f27c2278f5bdb77b,256.438527449565,303.297034114559,322.120015248877,343.144423186999,0.512877054899129,0.505495056857598,0.495569254229042,0.49020631883857,0.0226707360605598
10.99,f27c2278f5bdb77b,256.438514010414,303.297188271907,322.119859948423,343.144437769255,0.512877028020829,0.505495313786512,0.495569015305267,0.490206339670364,0.022670688350465
10.995,f27c2278f5bdb77b,256.438500353498,303.297343054176,322.119704171207,343.144452421119,0.512877000706996,0.50549557175696,0.495568775648011,0.490206360601598,0.0226706401053982
11,f27c2278f5bdb77b,256.438486477634,303.297498459891,322.119547918441,343.144467144034,0.512876972955268,0.505495830766485,0.49556853525914,0.490206381634334,0.0226705913209335
11.005,f27c2278f5bdb77b,256.438472381273,303.297654487391,322.119391191504,343.144481939832,0.512876944762546,0.505496090812318,0.495568294140776,0.490206402771188,0.0226705419913574
11.01,f27c2278f5bdb77b,256.438458062543,303.297811134851,322.119233991922,343.144496810683,0.512876916125086,0.505496351891419,0.495568052295265,0.490206424015261,0.022670492109825
11.015,f27c2278f5bdb77b,256.438443519305,303.297968400309,322.119076321343,343.144511759043,0.51287688703861,0.505496614000515,0.495567809725143,0.490206445370061,0.0226704416685484
11.02,f27c2278f5bdb77b,256.438428749208,303.298126281697,322.118918181509,343.144526787586,0.512876857498416,0.505496877136162,0.495567566433091,0.490206466839408,0.0226703906590082
11.025,f27c2278f5bdb77b,256.438413749762,303.298284776876,322.118759574226,343.144541899136,0.512876827499523,0.505497141294793,0.495567322421887,0.490206488427338,0.0226703390721856
11.03,f27c2278f5bdb77b,256.4383985184,303.298443883671,322.118600501335,343.144557096594,0.512876797036799,0.505497406472784,0.495567077694362,0.490206510137992,0.0226702868988071
11.035,f27c2278f5bdb77b,256.438383052556,303.298603599908,322.118440964676,343.14457238286,0.512876766105113,0.505497672666513,0.495566832253348,0.490206531975514,0.0226702341295986
